class,AP,AP50,AP75
person,0.5039525872557556,0.7895701164473092,0.516920912801296
bicycle,0.2844073444997592,0.5412505403764702,0.2605049765112248
car,0.2699908567032119,0.5693862447194985,0.2217762288870587
motorcycle,0.5076116647202346,0.7891571508568465,0.49430116805689117
bus,0.5427728273837276,0.6726626149184285,0.6167786920758312
truck,0.3517666335664891,0.5669037162812935,0.3475268333844204
cat,0.2556989532367401,0.5254794239661476,0.1926072511818957
dog,0.8026797058710732,0.943118383833914,0.8634562580354274
horse,0.6097904383778285,0.7536883931143346,0.6410781941313763
bird,0.49343012697874367,0.7816555260015519,0.42279729852021397
